Country,City Name
ID,Solok Selatan
ID,Soppeng
ID,Sorong
ID,Sorong Selatan
ID,Sragen
ID,Subang
ID,Sukabumi
ID,Sukamara
ID,Sukoharjo
ID,Sumba Barat
ID,Sumba Barat Daya
ID,Sumba Tengah
ID,Sumba Timur
ID,Sumbawa
ID,Sumbawa Barat
ID,Sumedang
ID,Sumenep
ID,Supiori
ID,Tabalong
ID,Tabanan
ID,Takalar
ID,Tambrauw
ID,Tana Tidung
ID,Tana Toraja
ID,Tanah Bumbu
ID,Tanah Datar
ID,Tanah Laut
ID,Tangerang
ID,Tanggamus
ID,Tanjung Jabung Barat
ID,Tanjung Jabung Barat
ID,Tanjung Jabung Timur
ID,Tanjung Jabung Timur
ID,Tapanuli Selatan
ID,Tapanuli Tengah
ID,Tapanuli Utara
ID,Tapin
ID,Tasikmalaya
ID,Tebo
ID,Tebo
ID,Tegal
ID,Teluk Bintuni
ID,Teluk Wondama
ID,Temanggung
ID,Timor Tengah Selatan
ID,Timor Tengah Utara
ID,Toba Samosir
ID,Tojo Una-Una
ID,Toli-Toli
ID,Tolikara
ID,Toraja Utara
ID,Trenggalek
ID,Tuban
ID,Tulangbawang
ID,Tulangbawang Barat
ID,Tulungagung
ID,Wajo
ID,Wakatobi
ID,Waropen
ID,Way Kanan
ID,Wonogiri
ID,Wonosobo
ID,Yahukimo
ID,Yalimo
ID,Ambon
ID,Balikpapan
ID,Banda Aceh
ID,Bandar Lampung
ID,Bandung
ID,Banjar
ID,Banjar Baru
ID,Banjarmasin
ID,Batam
ID,Batu
ID,Bau-Bau
ID,Bekasi
ID,Bengkulu
ID,Bima
ID,Binjai
ID,Bitung
ID,Blitar
ID,Bogor
ID,Bontang
ID,Bukittinggi
ID,Cilegon
ID,Cimahi
ID,Cirebon
ID,Denpasar
ID,Depok
ID,Dumai
ID,Gorontalo
ID,Gunungsitoli
ID,Jakarta Barat
ID,Jakarta Pusat
ID,Jakarta Selatan
ID,Jakarta Timur
ID,Jakarta Utara
ID,Jambi
ID,Jambi
ID,Jayapura
ID,Kediri
ID,Kendari
ID,Kotamobagu
ID,Kupang
ID,Langsa
ID,Lhokseumawe
ID,Lubuklinggau
ID,Madiun
ID,Magelang
ID,Makassar
ID,Malang
ID,Manado
ID,Mataram
ID,Medan
ID,Metro
ID,Mojokerto
ID,Padang
ID,Padang Panjang
ID,Padangsidimpuan
ID,Pagar Alam
ID,Palangka Raya
ID,Palembang
ID,Palopo
ID,Palu
ID,Pangkal Pinang
ID,Pare-Pare
ID,Pariaman
ID,Pasuruan
ID,Payakumbuh
ID,Pekalongan
ID,Pekanbaru
ID,Pematang Siantar
ID,Pontianak
ID,Prabumulih
ID,Probolinggo
ID,Sabang
ID,Salatiga
ID,Samarinda
ID,Sawah Lunto
ID,Semarang
ID,Serang
ID,Sibolga
ID,Singkawang
ID,Solok
ID,Sorong
ID,Subulussalam
ID,Sukabumi
ID,Sungai Penuh
