503,"LFIBIDJ1","BANK NATIONAL NOBU","ID"
506,"BUTGIDJ1","BANK SYARIAH MEGA","ID"
513,"INPBIDJ1","BANK INA PERDANIA","ID"
517,"ARFAIDJ1","BANK HARFA","ID"
520,"PMASIDJ1","BANK PRIMA MASTER","ID"
521,"SDOBIDJ1","BANK SYARIAH BUKOPIN","ID"
523,"BDIPIDJ1","BANK SAHABAT SAMPOERNA","ID"
525,"AKTBIDJ1","BANK AKITA","ID"
526,"LMANIDJ1","BANK LIMAN INTERNATIONAL","ID"
531,"LOMAIDJ1","BANK ANGLOMAS INTERNATIONAL","ID"
535,"KSEBIDJ1","BANK KESEJAHTERAAN EKONOMI","ID"
536,"SYCAIDJ1","BANK BCA SYARIAH","ID"
542,"ATOSIDJ1","BANK ARTOS INDONESIA","ID"
547,"PUBAIDJ1","BANK PURBA DANARTA","ID"
548,"MASBIDJ1","BANK MULTI ARTA SENTOSA","ID"
553,"MAYOIDJA","BANK MAYORA","ID"
555,"IXSLIDJ1","BANK INDEX SELINDO","ID"
558,"EKSTIDJ1","BANK PUNDI","ID"
559,"CNBAIDJ1","BANK CENTRATAMA NASIONAL","ID"
562,"FAMAIDJ1","BANK FAMA INTERNATIONAL","ID"
564,"SIHBIDJ1","BANK SINAR HARAPAN BALI","ID"
566,"VICTIDJ1","BANK VICTORIA INTERNASIONAL","ID"
567,"HRDAIDJ1","BANK HARDA INTERNATIONAL","ID"
945,"FINBIDJA","BANK AGRIS","ID"
947,"MBBEIDJA","BANK MAYBANK INDONESIA","ID"
949,"CTCBIDJA","BANK CHINATRUST INDONESIA","ID"
950,"BICNIDJA","BANK COMMONWEALTH","ID"
427,"SYNIIDJ1","BANK BNI SYARIAH","ID"
